,spy_buy_hold,spy_plus_05pct_puts,spy_plus_1pct_puts
2022-02-23,384.8467664970926,733.6369823965515,1386.332860188241
2022-02-24,390.6383822026185,744.0802934684474,1404.954704158013
2022-02-25,399.257400850999,759.0568209691413,1430.5513066012143
2022-02-28,398.23588752970954,757.4544169690593,1428.1666048301684
2022-03-01,392.1706521845531,751.0383587159141,1425.726914882729
2022-03-02,399.3850900161597,763.8087830022235,1448.0161394187742
2022-03-03,397.3967873015074,759.9079512772994,1440.4351836047956
2022-03-04,394.1680755538598,754.193769485448,1430.467300310533
2022-03-07,382.54836152419125,733.2968666526285,1393.339972296721
2022-03-08,379.6479933441015,727.5603304667289,1382.1087551001817
2022-03-09,389.8266439383797,745.5965442512086,1413.62080412955
2022-03-10,388.0663575900857,741.7173886415264,1405.3061886612081
2022-03-11,383.13208342207076,732.462525507652,1388.1013675815586
2022-03-14,380.3320424431796,727.2115588124607,1378.3432761371025
2022-03-15,388.6956827612373,742.5243427195992,1406.0921320151745
2022-03-16,397.3147014096177,758.2671398758109,1434.543117080364
2022-03-17,402.28545819625043,767.5493191881249,1451.7189566153168
2022-03-18,406.67797368638423,775.726082713319,1466.7992281803756
2022-03-21,406.5590408151009,775.2894608584274,1465.5797316913226
2022-03-22,411.3163556664429,784.2493350541048,1482.3078912534752
2022-03-23,406.0192685531215,774.1873462862251,1463.3588322410003
2022-03-24,412.13973708302075,785.6916555879708,1484.7907361776918
2022-03-25,414.15244721243454,789.488194670757,1491.8893459924477
2022-03-28,417.09832294730404,794.9784436919265,1502.0262667213194
2022-03-29,422.25817982452867,804.7573457041608,1520.3961682464223
2022-03-30,419.65080533869735,799.7890973469152,1511.0109759863979
2022-03-31,413.19183555975985,787.5589873812455,1488.0542435808597
2022-04-01,414.3628669077831,793.5979427345605,1506.656802947815
2022-04-04,417.9125556814765,799.8087410277647,1517.3370668099096
2022-04-05,412.6337659329686,790.4410701123555,1500.9541806026198
2022-04-06,408.50771016766936,782.9080476117479,1487.34957595879
2022-04-07,410.5661637091158,786.5006912096121,1493.50930732212
2022-04-08,409.46832182034416,784.369354624084,1489.4076772616766
2022-04-11,402.4695797794281,771.6456463913491,1466.5345106263612
2022-04-12,400.9783445471811,768.9065916960092,1461.5539781275966
2022-04-13,405.5709831152072,776.9275147454642,1475.3176205471111
2022-04-14,400.52091042685964,767.4807264520392,1457.8056822690785
2022-04-18,400.68558671017456,767.3150619398671,1456.5804367781423
2022-04-19,407.1537051715184,779.3151224895981,1478.6323722175791
2022-04-20,406.8517986521066,778.4202574285785,1476.3356889509582
2022-04-21,400.76792485183256,767.5820796837818,1457.2943140326759
2022-04-22,389.7712085993079,748.2547432187519,1423.873929593918
2022-04-25,392.0309331536956,751.8615635239626,1429.3575831349954
2022-04-26,380.67741828732005,732.532850168636,1397.227863926593
2022-04-27,381.7478141288718,734.1961808395246,1399.652868235523
