date,1x_unhedged,1x_aud_puts,1x_jpy_calls,1x_dual_hedge,3x_unhedged,3x_aud_puts,3x_jpy_calls,3x_dual_hedge,5x_unhedged,5x_aud_puts,5x_jpy_calls,5x_dual_hedge,audjpy
2022-09-23,189.65263949524658,592.3181991381796,161.31741819991493,323.8035480922616,381.4137304290705,5881.258498706862,213.76867139375383,1475.0899814181937,350.5802587682844,16146.679276178651,117.69991925943113,2430.214569608563,92.87743218292856
2022-09-25,189.99997820402658,593.4029983744207,161.61286245996007,324.39657704557374,383.50934723130615,5913.572133861833,214.94318920426997,1483.1946276415795,353.7906041325361,16294.538191978585,118.7777249279387,2452.4686123920624,93.04310712761418
2022-09-26,189.5379506745536,591.960005991409,161.21986456449056,323.6077340652819,380.71158044355207,5870.431605912385,213.3751415925205,1472.3744671971247,349.4889984080717,16096.419084389565,117.3335516358253,2422.6499770215687,92.81059792337987
2022-09-27,188.77441270748395,589.575344038736,160.57040366653993,322.3041070580421,376.1105850470543,5799.485960490227,210.796449231625,1454.580450693602,342.44956070158565,15772.203615638955,114.97020906600642,2373.8527511416555,92.43130784130855
2022-09-28,190.439168665666,594.7746666201634,161.98643528002867,325.1464291443666,386.06107031270267,5952.918758960849,216.37333817206218,1493.0632318695586,357.5494605868041,16467.659889776107,120.03968161292009,2478.524921872589,93.24024346580738
2022-09-29,190.650612682259,595.435043082417,162.16628831524815,325.50743821325125,387.3469975291844,5972.7472805039615,217.09405410503905,1498.0364622557101,359.5343908563188,16559.07984753424,120.70608003842838,2492.2844144281007,93.3390631714654
2022-09-30,187.90118713861705,586.8481086162857,159.8276431405031,320.8132048579118,370.5888809785494,5714.34332825277,207.70173279017462,1433.2256600764815,333.60966331071205,15365.064353131009,112.0024001744762,2312.5747787064056,91.9859377242072
2022-10-02,188.58426171712787,588.9814694031296,159.6095241383303,321.17741963816314,374.63047083005705,5776.663147299995,206.85137248048912,1438.107023694914,339.67349621201765,15644.34637940858,111.23814402682284,2325.7019490049984,92.31597845601436
2022-10-03,190.71982716153977,595.6512119468788,161.41697392891845,324.8144962036162,387.3576392688817,5972.91137218982,213.87864992945956,1486.9632480246341,358.9061451692523,16530.144728222775,117.5365576463147,2457.385491180601,93.35483870967741
2022-10-04,190.20792940926628,594.0524661789502,160.98372591604658,323.9426843265446,384.23860060648155,5924.816950889359,212.15647974210754,1474.9900857838927,354.08957072799956,16308.307700131154,115.95919936729973,2424.4070083420193,93.10074200913242
2022-10-05,191.07152300594402,596.7496192759638,161.7146340085861,325.4134685821949,389.4722309200661,6005.51759248984,215.0462169570805,1495.0806045735478,362.12786563191764,16678.527547069803,118.59162437609109,2479.4442082801925,93.52064220183486
2022-10-06,188.98974715657513,590.2478709987486,159.95270939380126,321.86800095155957,376.74201547654354,5809.222383915775,208.01725711131428,1446.2126836008727,342.40046111877683,15769.942235551573,112.13118548703976,2344.3731366874176,92.49262218383357
2022-10-07,188.1098618797259,587.4998361492542,159.20801273112386,320.36947037311745,371.4799879182918,5728.083867317057,205.1118404215216,1426.0131553200276,334.42984025024913,15402.839252490576,109.5209227434224,2289.799292406249,92.05627705627705
2022-10-09,187.9773371065636,587.0859382188609,159.0958495220184,320.1437677386831,370.69485681498963,5715.9774364114355,204.67833204742877,1422.9992452350352,333.25179891113487,15348.582188092292,109.13513128894829,2281.7333906831536,91.98671671960727
